,StationName,23,24,25,26,27,28,29
143,ST LAWRENCE AV,1077.0,878.0,1577.0,1576.0,1584.0,1128.0,1545.0
144,FAR ROCKAWAY,1075.0,856.0,1782.0,1732.0,1730.0,1655.0,1663.0
145,CHRISTOPHER ST,1060.0,782.0,3898.0,4024.0,4059.0,4134.0,3813.0
146,MT EDEN AV,1055.0,741.0,1860.0,1929.0,1789.0,1980.0,1950.0
147,6 AV,1031.0,794.0,1913.0,1975.0,2055.0,2050.0,1870.0
148,77 ST,1030.0,843.0,2310.0,2427.0,2497.0,2488.0,2266.0
149,WOODLAWN,1020.0,753.0,1826.0,1895.0,1853.0,2055.0,1674.0
150,NECK RD,1014.0,902.0,1832.0,1942.0,1777.0,2022.0,1759.0
151,HARLEM 148 ST,1011.0,754.0,1986.0,2016.0,1851.0,2111.0,1991.0
152,PRESIDENT ST,1004.0,575.0,2417.0,2438.0,2473.0,2449.0,2409.0
153,MARBLE HILL-225,962.0,744.0,1509.0,1711.0,1654.0,1617.0,1607.0
154,PENNSYLVANIA AV,950.0,659.0,1662.0,1722.0,1698.0,1766.0,1679.0
155,190 ST,942.0,724.0,1933.0,2071.0,2117.0,2104.0,2049.0
156,WILSON AV,933.0,752.0,2013.0,2053.0,2040.0,2080.0,1980.0
157,KINGSTON AV,930.0,1031.0,2324.0,2264.0,2328.0,2337.0,2308.0
158,BRIARWOOD,923.0,701.0,2018.0,2035.0,2037.0,2100.0,1953.0
159,AVENUE M,922.0,1136.0,2582.0,3076.0,2446.0,2901.0,2569.0
160,25 ST,921.0,708.0,1849.0,1969.0,1924.0,1952.0,1963.0
161,GUN HILL RD,913.0,602.0,1914.0,1999.0,2078.0,2027.0,1875.0
162,4 AV-9 ST,831.0,611.0,1823.0,1941.0,1935.0,1865.0,1896.0
163,OCEAN PKWY,792.0,628.0,1239.0,1253.0,1213.0,1227.0,1218.0
164,BERGEN ST,771.0,613.0,2271.0,2460.0,2441.0,2484.0,2194.0
165,BEVERLY RD,768.0,603.0,1601.0,1648.0,1665.0,1689.0,1557.0
166,BEVERLEY ROAD,742.0,684.0,1582.0,1634.0,1600.0,1733.0,1547.0
167,FULTON ST,739.0,442.0,1011.0,1923.0,1816.0,1897.0,1788.0
168,AVENUE H,733.0,655.0,1904.0,1942.0,1829.0,1898.0,1458.0
169,ST. GEORGE,726.0,711.0,2802.0,2765.0,2875.0,2850.0,2402.0
170,138/GRAND CONC,720.0,401.0,1453.0,1453.0,1356.0,1401.0,1383.0
171,18 ST,654.0,569.0,3604.0,3885.0,3819.0,3637.0,3483.0
172,VAN SICLEN AV,652.0,495.0,1250.0,1321.0,1237.0,1296.0,1263.0
173,75 AV,652.0,486.0,1614.0,1717.0,1682.0,1730.0,1554.0
174,CLINTON-WASH AV,585.0,349.0,4144.0,4273.0,4289.0,4360.0,4190.0
175,KINGSTON-THROOP,573.0,451.0,3421.0,3495.0,3325.0,3339.0,3358.0
176,JUNIUS ST,548.0,459.0,1054.0,1039.0,1047.0,1020.0,983.0
177,CITY HALL,530.0,449.0,2498.0,2499.0,2533.0,2588.0,2335.0
178,BEACH 67 ST,474.0,383.0,751.0,747.0,728.0,694.0,747.0
179,WHITLOCK AV,455.0,367.0,824.0,875.0,867.0,843.0,827.0
180,W 8 ST-AQUARIUM,452.0,394.0,1091.0,1069.0,1125.0,962.0,1018.0
181,BEACH 60 ST,423.0,338.0,742.0,761.0,678.0,746.0,701.0
182,BUSHWICK AV,416.0,354.0,826.0,932.0,864.0,882.0,826.0
183,215 ST,403.0,280.0,625.0,674.0,635.0,650.0,651.0
184,BEACH 25 ST,341.0,282.0,672.0,733.0,607.0,663.0,634.0
185,PARK PLACE,298.0,238.0,1931.0,2074.0,2095.0,1937.0,1849.0
186,HOWARD BCH JFK,295.0,311.0,537.0,506.0,466.0,474.0,489.0
187,104 ST,281.0,205.0,1721.0,1714.0,1712.0,1693.0,1681.0
188,55 ST,268.0,454.0,984.0,949.0,938.0,908.0,832.0
189,ATLANTIC AV,239.0,163.0,593.0,555.0,574.0,590.0,540.0
190,BEACH 36 ST,211.0,162.0,352.0,362.0,370.0,337.0,362.0
191,BEACH 44 ST,185.0,130.0,287.0,305.0,276.0,250.0,257.0
192,AQUEDUCT RACETR,113.0,106.0,151.0,157.0,174.0,156.0,151.0
193,WORLD TRADE CTR,96.0,35.0,8805.0,8908.0,9341.0,9261.0,8436.0
194,NASSAU AV,55.0,12.0,5065.0,5479.0,5534.0,5490.0,5289.0
195,ASTORIA DITMARS,53.0,14.0,9204.0,10056.0,9850.0,9973.0,9572.0
196,COURT SQ-23 ST,20.0,0.0,2443.0,2412.0,2354.0,2374.0,2315.0
197,39 AV,20.0,6.0,1241.0,1345.0,1374.0,1303.0,1357.0
198,121 ST,17.0,0.0,812.0,843.0,912.0,882.0,921.0
199,METROPOLITAN AV,17.0,0.0,1420.0,1511.0,1460.0,1383.0,1488.0
200,BROADWAY,16.0,0.0,5153.0,5528.0,5608.0,5394.0,5318.0
201,GREENPOINT AV,13.0,5.0,4736.0,5123.0,5246.0,5280.0,4969.0
202,36 AV,12.0,6.0,3053.0,3337.0,3127.0,3182.0,3095.0
203,WOODHAVEN BLVD,11.0,0.0,1610.0,1647.0,1589.0,1571.0,1491.0
204,CYPRESS HILLS,5.0,5.0,529.0,591.0,,618.0,555.0
205,30 AV,2.0,1.0,9406.0,9882.0,10075.0,9920.0,9368.0
206,75 ST-ELDERTS,0.0,0.0,1411.0,1432.0,1347.0,1403.0,1407.0
207,85 ST-FOREST PK,0.0,1.0,1299.0,1252.0,1302.0,1303.0,1208.0
208,AVENUE X,0.0,0.0,1031.0,1035.0,1120.0,1114.0,912.0
209,AVENUE P,0.0,1.0,1088.0,1098.0,1037.0,1084.0,1007.0
